"obs";"bio1";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19"
1;40;118;33;8021;236;-117;353;-56;102;142;-63;369;47;22;24;124;73;89;115
1;140;128;59;3168;249;35;214;99;175;179;99;541;111;2;88;289;7;11;289
1;91;98;41;4930;232;-4;236;36;155;156;32;2038;341;34;64;963;136;159;901
1;56;132;37;7223;262;-86;348;-26;148;151;-33;947;133;29;41;374;117;129;354
1;148;133;43;6388;321;13;308;81;232;235;74;365;70;1;86;201;8;15;191
1;82;106;42;5072;231;-18;249;26;148;149;22;2049;315;36;57;931;172;182;855
1;147;149;44;6648;337;1;336;78;235;235;69;522;97;2;81;270;12;12;262
1;96;91;49;3427;197;14;183;60;139;142;56;2307;365;39;61;1057;164;178;997
1;96;91;47;3761;202;11;191;54;142;146;50;2138;330;40;58;955;159;185;901
1;130;147;46;5974;307;-7;314;67;208;212;62;686;131;2;87;380;13;28;362
1;17;129;35;7614;215;-145;360;52;-35;116;-77;671;83;42;20;205;148;178;170
1;2;121;25;11908;218;-261;479;141;-62;141;-162;505;93;20;60;251;63;251;77
1;33;171;42;7860;240;-160;400;136;-66;136;-66;450;76;11;55;198;44;198;44
1;63;151;40;7705;260;-111;371;158;96;165;-33;436;62;15;37;161;56;135;103
1;80;161;41;7926;282;-103;385;177;115;184;-20;348;53;11;41;137;42;113;76
1;46;92;33;6369;201;-75;276;-27;128;128;-33;1295;196;44;50;566;148;148;518
1;114;106;41;5298;265;8;257;53;182;182;48;1379;216;23;55;611;118;124;570
1;81;103;42;5026;227;-17;244;26;147;148;22;1899;285;38;54;843;174;182;771
1;106;106;42;5081;255;5;250;48;171;172;44;1665;256;25;56;738;133;134;684
1;32;106;31;7662;208;-124;332;-61;-13;129;-66;424;48;22;22;132;77;119;125
1;154;137;43;6223;337;21;316;78;234;235;78;885;176;1;83;451;13;20;451
1;51;83;38;4658;180;-34;214;4;112;115;0;2371;389;48;61;1094;178;203;1025
1;10;80;25;8308;174;-140;314;66;5;119;-91;532;81;22;41;215;72;159;117
1;14;149;40;7641;222;-149;371;43;-78;116;-78;513;62;30;23;172;100;144;100
1;73;123;33;8332;274;-91;365;-28;134;179;-35;310;38;18;23;99;61;77;94
1;118;118;51;4057;253;22;231;73;169;172;69;1586;283;3;81;816;31;49;792
1;25;167;40;8324;234;-179;413;132;-82;132;-82;410;73;11;57;188;41;188;41
1;85;155;47;5912;280;-43;323;19;163;163;15;955;173;8;73;485;47;47;452
1;94;118;39;6307;268;-28;296;21;176;176;15;1219;220;11;73;624;63;63;590
1;105;113;44;5011;257;1;256;47;169;170;43;1369;224;24;59;642;118;119;577
1;154;148;43;6868;355;12;343;78;245;245;72;1457;262;7;78;722;40;40;705
1;111;128;47;5014;276;5;271;54;176;177;50;1278;216;12;66;618;70;76;560
1;43;107;35;6810;218;-85;303;-36;131;131;-41;1393;245;27;66;699;111;111;643
1;4;149;40;7575;196;-171;367;103;-90;103;-90;603;93;23;43;240;83;240;83
1;102;104;42;4914;243;1;242;47;166;166;43;1057;170;21;58;494;91;91;442
1;160;163;49;5875;347;18;329;98;236;240;91;475;91;3;79;244;15;26;240
1;78;76;40;3899;185;-1;186;38;128;131;33;2737;404;66;54;1151;236;274;1085
1;37;79;37;4684;164;-46;210;-8;99;103;-12;2508;402;52;59;1142;200;222;1069
1;54;136;44;6085;231;-75;306;-15;134;136;-15;1179;207;12;73;565;54;60;565
1;-6;148;39;7858;190;-183;373;92;8;96;-102;570;61;37;16;165;126;158;141
1;60;131;38;6881;260;-77;337;-20;147;149;-26;685;92;19;41;271;77;89;251
1;-34;101;20;14357;218;-269;487;145;-113;145;-219;315;53;9;51;142;37;142;55
1;81;178;45;6959;304;-84;388;2;170;173;-5;341;43;7;38;124;36;44;115
1;82;106;42;5072;231;-18;249;26;148;149;22;2049;315;36;57;931;172;182;855
1;91;98;46;4095;213;2;211;46;143;146;42;2297;375;34;64;1082;150;167;1014
1;40;139;31;10258;258;-182;440;166;-18;166;-96;362;65;14;54;161;45;161;47
1;101;117;45;4932;255;-1;256;45;165;166;42;1580;282;17;70;786;85;99;736
1;50;101;35;6521;215;-72;287;-25;134;135;-30;1222;209;21;63;595;99;103;552
1;53;102;38;5786;213;-55;268;-10;129;130;-15;1760;289;24;62;826;125;132;779
1;40;118;33;8021;236;-117;353;-56;102;142;-63;369;47;22;24;124;73;89;115
1;148;133;43;6388;321;13;308;81;232;235;74;365;70;1;86;201;8;15;191
1;99;109;45;4661;240;3;237;47;160;160;43;1946;307;33;61;896;138;162;841
1;85;158;35;9699;316;-126;442;182;-39;211;-39;421;74;10;65;210;32;174;32
1;115;138;44;6225;296;-13;309;45;197;199;45;1418;253;7;78;696;34;46;696
1;-3;157;42;7168;187;-179;366;85;24;89;-91;838;91;37;22;252;144;215;218
1;94;107;43;4928;238;-7;245;39;158;158;35;1372;197;32;49;587;144;144;532
1;101;110;44;4968;247;-1;248;44;165;165;41;1211;194;22;60;568;99;99;515
1;60;107;36;6607;230;-66;296;-17;145;145;-22;1249;215;22;63;606;100;100;562
1;48;129;38;6846;247;-88;335;-31;136;137;-37;757;105;19;44;306;81;93;285
1;113;111;59;2747;216;29;187;84;146;149;79;1104;201;3;81;563;20;33;552
1;51;107;32;7779;232;-98;330;-43;49;150;-50;424;54;25;27;153;81;95;140
1;146;141;43;6336;334;11;323;75;229;229;70;1231;246;1;84;635;19;19;634
1;54;131;35;7837;262;-103;365;-38;149;156;-45;622;69;34;23;199;118;139;187
1;81;103;42;5026;227;-17;244;26;147;148;22;1899;285;38;54;843;174;182;771
1;49;116;39;5929;227;-65;292;-15;128;129;-20;1815;308;26;64;872;128;131;811
1;40;159;39;8376;266;-141;407;28;149;149;-66;475;48;24;18;139;88;88;128
1;15;111;26;10745;217;-200;417;143;-46;143;-130;490;77;20;45;211;71;211;90
